Country_Disasters,Australia - Temperature,Australia - Drought,Australia - Extreme temperature,Australia - Flood,Australia - Landslide,Australia - Storm,Australia - Wildfire,Australia - Total Extreme Weather,Brazil - Temperature,Brazil - Drought,Brazil - Extreme temperature,Brazil - Flood,Brazil - Landslide,Brazil - Storm,Brazil - Wildfire,Brazil - Total Extreme Weather,Canada - Mean Temperature Rise,Canada - Drought,Canada - Extreme temperature events,Canada - Flood,Canada - Storm,Canada - Wildfire,Canada - Total Extreme Weather,China - Temperature,China - Drought,China - Extreme temperature,China - Flood,China - Landslide,China - Storm,China - Wildfire,China - Total Extreme Weather,France - Temperature,France - Drought,France - Extreme temperature,France - Flood,France - Landslide,France - Storm,France - Wildfire,France - Total Extreme Weather,Germany - Temperature,Germany - Extreme temperature,Germany - Flood,Germany - Landslide,Germany - Storm,Germany - Total Extreme Weather,India - Temperature,India - Drought,India - Extreme temperature,India - Flood,India - Landslide,India - Storm,India - Wildfire,India - Total Extreme Weather,Italy - Temperature,Italy - Drought,Italy - Extreme temperature,Italy - Flood,Italy - Landslide,Italy - Storm,Italy - Wildfire,Italy - Total Extreme Weather,Japan - Temperature,Japan - Extreme temperature,Japan - Flood,Japan - Landslide,Japan - Storm,Japan - Wildfire,Japan - Total Extreme Weather,Russian Federation - Temperature,Russian Federation - Drought,Russian Federation - Extreme temperature,Russian Federation - Flood,Russian Federation - Landslide,Russian Federation - Storm,Russian Federation - Wildfire,Russia - Total Extreme Weather,United Kingdom - Temperature,United Kingdom - Drought,United Kingdom - Extreme temperature,United Kingdom - Flood,United Kingdom - Storm,UK - Total Extreme Weather,United States - Temperature,United States - Drought,United States - Extreme temperature,United States - Flood,United States - Landslide,United States - Storm,United States - Wildfire,US - Total Extreme Weather
1990,0.549,1,2,2,1,2,3,11,0.435,1,0,2,1,2,2,8,0.078,1,1,1,0,0,3,0.852,1,2,8,0,11,0,22,1.591,0,1,0,1,8,1,11,1.571,0,0,0,6,6,-0.081,1,4,10,1,5,2,23,1.132,0,0,0,0,1,2,3,1.132,0,1,0,2,0,3,0,0,0,0,0,0,0,0,1.016,0,0,0,7,7,0.674,0,2,4,0,15,0,21
1991,0.82,1,1,2,1,2,3,10,0.468,2,0,1,1,2,2,8,0.336,1,1,1,1,0,4,0.52,1,2,8,1,5,0,17,0.257,1,2,0,1,0,1,5,0.286,0,0,0,1,1,0.19,1,5,10,2,1,3,22,0.029,1,0,0,0,0,0,1,0.726,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0.21,0,1,0,1,2,0.527,2,0,14,0,17,0,33
1992,0.281,1,1,2,1,2,3,10,0.403,2,0,4,1,3,2,12,0.1,1,1,1,0,1,4,0.13,2,2,8,0,8,0,20,0.659,0,0,1,1,2,1,5,1.228,0,1,0,0,1,0.035,1,5,10,3,2,3,24,0.542,1,0,2,0,0,0,3,0.333,0,0,0,2,0,2,0.359,0,0,1,1,0,1,2,0.522,0,0,0,0,0,0.395,0,0,0,0,27,1,28
1993,0.484,1,1,2,1,2,4,11,0.495,2,0,0,1,3,2,8,0.342,1,1,1,0,1,4,0.281,2,2,8,1,11,0,24,0.325,0,0,1,1,2,1,5,0.31,0,1,1,2,4,0.223,1,5,10,3,2,3,24,0.527,1,0,0,0,1,0,2,0.012,0,1,2,3,0,6,0.951,1,1,2,2,0,0,6,-0.015,0,0,2,0,2,0.004,0,1,6,0,20,1,28
1994,0.221,1,1,2,1,4,5,14,0.608,2,1,0,1,3,2,9,0.467,1,1,2,2,2,8,0.733,2,2,6,1,5,0,16,1.547,0,0,3,1,0,1,5,1.625,0,2,1,2,5,0.107,1,5,10,2,2,3,23,1.513,1,0,1,0,1,1,4,0.965,0,0,0,3,0,3,0.572,0,1,5,0,2,0,8,0.413,0,0,2,0,2,0.466,0,0,1,1,9,2,13
1995,0.413,1,1,2,1,4,5,14,0.799,2,1,3,2,3,2,13,0.938,1,1,2,2,2,8,0.577,2,2,8,1,6,1,20,1.326,0,0,0,1,1,1,3,1.307,0,1,1,2,4,0.238,1,5,10,3,2,3,24,0.418,1,0,0,0,0,0,1,0.348,0,1,0,1,0,2,2.101,0,2,0,1,3,0,6,1.119,0,0,0,1,1,0.63,0,2,5,1,10,2,20
1996,0.604,1,1,2,1,6,5,16,0.504,2,1,1,3,3,3,13,0.98,1,1,2,2,3,9,0.21,2,2,8,4,8,0,24,0.188,0,0,2,1,1,1,5,-0.699,0,2,1,1,4,0.339,1,5,10,2,4,3,25,0.233,1,0,2,1,0,0,4,-0.127,0,0,1,1,0,2,0.808,0,0,2,1,0,1,3,-0.142,0,0,0,1,1,-0.011,0,0,4,1,9,3,17
1997,0.383,1,2,4,1,5,5,18,0.671,3,1,3,3,3,3,16,0.87,1,1,2,3,2,9,0.733,2,2,8,2,5,0,19,1.24,1,1,0,1,0,1,4,0.558,1,2,1,0,4,-0.064,1,6,10,2,1,6,26,0.931,1,0,0,0,1,0,2,0.454,0,0,1,2,0,3,1.277,0,1,1,0,0,1,2,0.882,0,1,2,0,3,0.384,0,0,8,1,23,2,34
1998,1.092,1,2,6,1,5,5,20,1.234,3,1,5,3,3,3,18,0.97,1,1,3,3,3,11,1.264,2,2,8,1,5,0,18,0.947,0,0,0,1,1,1,3,1.153,0,2,1,1,4,0.614,1,6,10,5,4,5,31,0.969,1,1,0,1,0,0,3,1.199,0,1,1,5,0,7,-0.035,1,1,4,0,1,1,7,0.86,0,0,1,3,4,1.272,0,1,7,1,20,3,32
1999,0.58,2,2,5,2,4,5,20,0.523,3,1,1,3,3,3,14,1.294,1,2,3,3,3,12,1.231,3,2,8,1,9,1,24,1.199,0,0,3,1,1,1,6,1.367,0,2,1,2,5,0.468,2,6,11,5,3,5,32,0.918,1,0,0,1,0,1,3,0.948,0,2,0,1,0,3,0.413,0,2,1,0,1,1,4,1.133,0,0,1,2,3,0.758,1,1,1,1,16,2,22
