ObjectId,Country,ISO2,ISO3,Indicator,Unit,Source,CTS_Code,CTS_Name,CTS_Full_Descriptor,F1980,F1981,F1982,F1983,F1984,F1985,F1986,F1987,F1988,F1989,F1990,F1991,F1992,F1993,F1994,F1995,F1996,F1997,F1998,F1999,F2000,F2001,F2002,F2003,F2004,F2005,F2006,F2007,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018,F2019,F2020,F2021,F2022
1,Afghanistan,AF,AFG, Drought,Number,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Climate Indicators, Climate Related Disasters Frequency",,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,1,,,1,,,,,,,1,,,1,
2,Afghanistan,AF,AFG, Extreme temperature,Number,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Climate Indicators, Climate Related Disasters Frequency",,,,,,,,,,,1,1,,,,,,,,,,2,,,,1,,,1,,,,1,,,,,,,,,,
3,Afghanistan,AF,AFG, Flood,Number,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Climate Indicators, Climate Related Disasters Frequency",1,,,,,,,,1,,,3,2,,,2,1,2,1,1,,,4,8,2,8,7,7,1,3,2,2,6,4,2,1,4,1,3,6,5,2,5
4,Afghanistan,AF,AFG, Landslide,Number,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Climate Indicators, Climate Related Disasters Frequency",,,,,,,,1,,,,,,2,,1,,1,1,,,,1,,,,2,,,1,2,,3,1,,4,,2,1,1,1,1,1
5,Afghanistan,AF,AFG, Storm,Number,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Climate Indicators, Climate Related Disasters Frequency",,,,,,,,,,,,,,1,,,,,,,,,,,,1,2,,,,,1,,,1,,,2,,,1,,
7,Afghanistan,AF,AFG, Wildfire,Number,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Climate Indicators, Climate Related Disasters Frequency",,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
8,Albania,AL,ALB, Drought,Number,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Climate Indicators, Climate Related Disasters Frequency",,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Albania,AL,ALB, Extreme temperature,Number,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Climate Indicators, Climate Related Disasters Frequency",,,,,,1,,,,,,,,,,,,,,,,,,,1,,,1,,,,,1,,,,,1,,,,,
10,Albania,AL,ALB, Flood,Number,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Climate Indicators, Climate Related Disasters Frequency",,,,,,,,,,,,,1,,,2,,1,,,,,1,,1,1,,,,1,1,,,,,3,1,1,1,,,1,
11,Albania,AL,ALB, Landslide,Number,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Climate Indicators, Climate Related Disasters Frequency",,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
