Country_Disasters,Country,Country_Disasters,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
37,Australia,Australia - Drought,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,6.0,6.0
38,Australia,Australia - Extreme temperature,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
39,Australia,Australia - Flood,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,6.0,5.0,5.0,4.0,5.0,4.0,5.0,6.0,6.0,6.0,6.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0,6.0,5.0,8.0,8.0,8.0,7.0
40,Australia,Australia - Landslide,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0
41,Australia,Australia - Storm,2.0,2.0,2.0,2.0,4.0,4.0,6.0,5.0,5.0,4.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,5.0,8.0,8.0,8.0,8.0,8.0
42,Australia,Australia - Wildfire,3.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,9.0,7.0,8.0,8.0,8.0,8.0,8.0,9.0,10.0,9.0,12.0,13.0,14.0,15.0
94,Brazil,Brazil - Drought,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0
95,Brazil,Brazil - Extreme temperature,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
96,Brazil,Brazil - Flood,2.0,1.0,4.0,0.0,0.0,3.0,1.0,3.0,5.0,1.0,4.0,3.0,2.0,5.0,2.0,2.0,2.0,3.0,4.0,7.0,3.0,8.0,2.0,5.0,4.0,4.0,2.0,1.0,2.0,7.0,5.0,10.0
97,Brazil,Brazil - Landslide,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,3.0,3.0,3.0,4.0,4.0,5.0,4.0,4.0,6.0,7.0
98,Brazil,Brazil - Storm,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,7.0
99,Brazil,Brazil - Wildfire,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0
