Country_Disasters,0,1,2,3,4,5,6,7,8,9,10,11
Country_Disasters,Australia - Temperature,Brazil - Temperature,Canada - Temperature,China - Temperature,France - Temperature,Germany - Temperature,India - Temperature,Italy - Temperature,Japan - Temperature,Russian Federation - Temperature,United Kingdom - Temperature,United States - Temperature
1990,0.549,0.435,0.078,0.852,1.591,1.571,-0.081,1.132,1.132,,1.016,0.674
1991,0.82,0.468,0.336,0.52,0.257,0.286,0.19,0.029,0.726,,0.21,0.527
1992,0.281,0.403,0.1,0.13,0.659,1.228,0.035,0.542,0.333,0.359,0.522,0.395
1993,0.484,0.495,0.342,0.281,0.325,0.31,0.223,0.527,0.012,0.951,-0.015,0.004
1994,0.221,0.608,0.467,0.733,1.547,1.625,0.107,1.513,0.965,0.572,0.413,0.466
1995,0.413,0.799,0.938,0.577,1.326,1.307,0.238,0.418,0.348,2.101,1.119,0.63
1996,0.604,0.504,-0.125,0.21,0.188,-0.699,0.339,0.233,-0.127,0.808,-0.142,-0.011
1997,0.383,0.671,0.426,0.733,1.24,0.558,-0.064,0.931,0.454,1.277,0.882,0.384
1998,1.092,1.234,2.47,1.264,0.947,1.153,0.614,0.969,1.199,-0.035,0.86,1.272
1999,0.58,0.523,1.694,1.231,1.199,1.367,0.468,0.918,0.948,0.413,1.133,0.758
2000,0.148,0.495,1.291,0.572,1.175,1.764,0.35,1.243,0.636,1.319,0.724,1.0
2001,0.336,0.746,1.421,1.038,1.391,1.292,0.473,1.533,0.418,0.813,0.631,0.786
2002,0.736,1.052,0.54,1.131,1.054,1.491,0.827,0.913,0.63,1.589,1.011,0.951
2003,0.835,0.927,1.24,0.822,1.8,1.258,0.665,1.526,0.326,0.992,1.194,0.99
2004,0.723,0.768,0.485,1.112,0.969,0.998,0.545,0.746,1.116,1.397,1.035,0.863
2005,1.211,1.085,1.282,1.048,1.02,1.025,0.567,0.563,0.737,1.702,1.116,1.153
2006,0.721,0.77,2.343,1.232,1.306,1.254,0.638,0.84,0.39,0.551,1.25,1.026
2007,0.929,0.969,1.333,1.538,1.407,2.088,0.607,1.552,1.004,2.49,1.332,1.143
2008,0.625,0.731,0.851,1.09,0.992,1.542,0.263,1.133,0.671,2.223,0.838,0.212
2009,1.03,0.969,0.539,1.336,1.212,1.282,1.134,1.234,0.801,1.192,0.948,0.398
2010,0.673,1.112,2.915,0.968,0.395,0.196,1.129,0.755,0.922,0.88,-0.05,0.695
2011,0.208,0.814,1.438,0.792,1.534,1.121,0.365,1.253,0.596,1.704,0.851,0.537
2012,0.308,1.023,2.144,0.626,1.22,1.349,0.516,1.543,0.395,1.933,0.576,1.448
2013,1.499,0.922,1.182,1.073,0.714,0.583,0.451,1.006,0.628,1.166,0.364,0.614
2014,1.198,1.153,0.288,1.062,2.049,2.519,0.53,1.638,0.56,1.753,1.718,0.501
2015,1.087,1.516,1.231,1.297,1.612,1.674,0.711,1.704,0.833,2.246,0.614,1.531
2016,1.172,1.457,2.373,1.319,1.794,1.988,1.088,1.716,1.323,2.459,1.161,2.224
2017,1.141,1.363,1.48,1.573,1.796,1.653,0.966,1.606,0.796,2.127,1.424,1.433
2018,1.129,1.148,0.477,1.361,2.06,2.393,0.874,1.834,0.926,2.043,0.998,1.276
2019,1.422,1.517,1.311,1.422,2.023,2.332,0.802,1.698,1.272,2.178,1.231,1.034
2020,1.416,1.477,1.128,1.62,2.551,2.516,0.52,1.902,1.437,3.691,1.373,1.324
2021,0.629,1.154,2.515,1.701,1.337,1.325,0.733,1.569,1.27,1.643,0.929,1.144
