Entity,Code,Year,Greenhouse gas emissions from agriculture,Greenhouse gas emissions from land use change and forestry,Greenhouse gas emissions from waste,Greenhouse gas emissions from buildings,Greenhouse gas emissions from industry,Greenhouse gas emissions from manufacturing and construction,Greenhouse gas emissions from transport,Greenhouse gas emissions from electricity and heat,Fugitive emissions of greenhouse gases from energy production,Greenhouse gas emissions from other fuel combustion,Greenhouse gas emissions from bunker fuels
Afghanistan,AFG,1990,8069999.5,-2390000,1230000,129999.99,50000,570000,980000,320000,280000,0,20000
Afghanistan,AFG,1991,8390000,-2390000,1320000,140000,60000,530000,930000,300000,240000,0,20000
Afghanistan,AFG,1992,8400000,-2390000,1400000,150000,60000,390000,740000,200000,200000,0,20000
Afghanistan,AFG,1993,8480000,-2390000,1490000,160000,60000,380000,740000,200000,160000,0,20000
Afghanistan,AFG,1994,8520000,-2390000,1580000,160000,60000,360000,730000,190000,120000,0,20000
Afghanistan,AFG,1995,8950000,-2390000,1670000,160000,70000,340000,730000,180000,80000,0,20000
Afghanistan,AFG,1996,9980000,-2390000,1730000,170000,80000,320000,700000,170000,90000,0,20000
Afghanistan,AFG,1997,10950000,-2390000,1790000,170000,100000,300000,670000,160000,90000,0,20000
Afghanistan,AFG,1998,11750000,-2390000,1840000,170000,110000,280000,670000,160000,90000,0,20000
Afghanistan,AFG,1999,12790000,-2390000,1900000,170000,120000,250000,490000,160000,90000,0,20000
Afghanistan,AFG,2000,10990000,-2390000,1960000,160000,100000,230000,510000,160000,90000,0,20000
Afghanistan,AFG,2001,9280000,120000,2050000,170000,100000,230000,510000,180000,80000,0,20000
Afghanistan,AFG,2002,11530000,120000,2150000,170000,110000,560000,510000,150000,80000,0,20000
Afghanistan,AFG,2003,11890000,120000,2240000,180000,120000,490000,720000,259999.98,70000,0,30000
Afghanistan,AFG,2004,11770000,120000,2330000,200000,120000,240000,600000,230000,60000,0,30000
Afghanistan,AFG,2005,12070000,120000,2420000,240000,129999.99,350000,1130000,230000,60000,0,70000
Afghanistan,AFG,2006,12050000,120000,2500000,230000,150000,350000,1430000,270000,280000,0,80000
Afghanistan,AFG,2007,12120000,120000,2580000,230000,180000,740000,1600000,270000,500000,0,110000
Afghanistan,AFG,2008,13400000,120000,2660000,230000,200000,1210000,2680000,240000,730000,0,160000
Afghanistan,AFG,2009,13860000,120000,2730000,390000,220000,1670000,4370000,120000,950000,0,240000
Afghanistan,AFG,2010,15790000,120000,2810000,500000,250000,2390000,5540000,140000,1170000,0,350000
Afghanistan,AFG,2011,15900000,-250000,2910000,820000,310000,4170000,6710000,190000,1380000,60000,980000
Afghanistan,AFG,2012,15780000,-250000,3000000,840000,390000,3250000,5850000,150000,1580000,100000,280000
Afghanistan,AFG,2013,15720000,-250000,3090000,1340000,470000,3370000,4330000,220000,1780000,110000,190000
Afghanistan,AFG,2014,16219999,-250000,3190000,1730000,519999.97,3710000,3530000,170000,1980000,120000,180000
Afghanistan,AFG,2015,15540000,-250000,3280000,2490000,600000,2930000,4300000,170000,2180000,140000,90000
Afghanistan,AFG,2016,15300000,150000,3370000,2600000,790000,2980000,3310000,190000,2190000,140000,70000
Afghanistan,AFG,2017,15210000,150000,3450000,2220000,910000,3480000,3940000,190000,2210000,140000,190000
Afghanistan,AFG,2018,14840000,150000,3530000,2170000,1080000,3860000,4410000,240000,2220000,230000,170000
Afghanistan,AFG,2019,14480000,150000,3610000,2380000,1210000,3910000,4530000,240000,2230000,150000,30000
Afghanistan,AFG,2020,15150000,150000,3700000,2360000,1380000,2860000,3260000,170000,2240000,110000,20000
Africa,,1990,606299970,1085770000,119430000,90960000,34270000,118500000,115180000,242950020,283840000,9580000,28340000
Africa,,1991,614780000,1085770000,126840000,93300000,36570000,110930000,120510000,248750000,307979970,10090000,28800000
Africa,,1992,622930000,1085770000,134230000,95720000,37690000,107690000,126480000,254560000,305730020,10080000,30990000
Africa,,1993,623810000,1085760000,141730000,99700010,37990000,99950000,125570000,267010020,320770000,12350000,30950000
Africa,,1994,632800000,1085750000,152210000,101310000,95200000,92310000,127100000,272890020,335690020,13620000,36489996
Africa,,1995,643130000,1086449900,147360000,103229990,97850000,95479990,136340000,286180000,359380000,14700000,38219996
Africa,,1996,655419970,1048829950,142780000,105220000,100060000,103550000,141940000,293700000,393290020,14700001,41770000
Africa,,1997,664170000,1064800060,138640000,108870000,101950000,108180000,151030000,310300030,383560000,14360001,38980000
Africa,,1998,701179970,1097640100,134250000,109870000,104330000,109350000,151390000,324530000,375250000,15780000,38010004
Africa,,1999,703130000,1086790000,129670000,112160000,107190000,106470000,159890000,321650000,367530000,15360000,43399996
Africa,,2000,713660000,1055620000,125250000,112590000,110070000,105369990,164060000,329700000,387589980,14780000,42260004
Africa,,2001,703349950,1084110000,125360000,119390000,112670000,109130000,171620000,375960000,383520000,13799999,39690000
Africa,,2002,737519940,1093239900,129700000,124740000,116430000,111060000,180160000,387450020,360570020,13090000,37700000
Africa,,2003,765099970,1128449900,132119990,128440000,117920000,115440000,190730000,405229980,398420000,13180000,40630000
Africa,,2004,772900030,1117800000,134470000,133200000,121820000,121610000,198950000,437240030,408350000,15230000,38580000
Africa,,2005,809220030,1137450100,136730000,138960000,126900000,136150000,203600000,441709980,421750000,19369998,38490000
Africa,,2006,798810000,1126689900,139790000,142560000,134980000,135599980,208430000,449860000,418200000,22600000,37720000
Africa,,2007,835930000,1127840000,142850000,151400000,142710000,137520000,219400000,464320000,406460000,24200000,39790000
Africa,,2008,858430000,1134790000,145940000,158570000,149590000,136280000,233930000,502900030,407940000,23680000,41050000
Africa,,2009,849810000,1121300100,149000000,160400000,160090000,147420000,243480000,470250000,389750000,26590000,38149996
Africa,,2010,887770050,1142740000,152090000,143090000,165950000,141500000,264290020,524569950,405840000,29940000,42500000
Africa,,2011,909400000,1341120000,155090000,149790000,169420000,141270000,274309980,515349980,351060000,31090000,41870000
Africa,,2012,921739970,1341320000,158050000,163150020,178380000,138100000,297400000,544750000,372269980,32680000,44020000
Africa,,2013,928470000,1334530000,161980000,169370000,184520000,149380000,323200000,549590000,344490000,30310000,41900000
Africa,,2014,932170000,1328490000,165820000,173620000,193080000,152210000,337180000,578310000,333260000,30080000,42070000
Africa,,2015,950460000,1343370000,169720000,173080000,201290000,147000000,340829980,570510000,329620000,29279998,42530000
Africa,,2016,981650050,1390630000,173860000,173550000,210690000,149240000,354660000,572680000,321800000,25150000,40010000
Africa,,2017,986210050,1384780000,178070000,190290000,215370000,152630000,356630000,581010000,338190000,27939998,42970000
Africa,,2018,996820030,1368080000,182270000,185709980,222900020,166010000,367440000,583000000,346810000,27430000,45570000
Africa,,2019,1012600000,1368890000,186380000,180890000,230010020,156739980,373470000,606810000,355149980,28490000,44210000
Africa,,2020,1051410050,1364420100,190510000,182270000,233690000,147740000,342840000,551760000,304320000,26050000,31570000
Albania,ALB,1990,3560000,190000,900000,440000,519999.97,2150000,720000,730000,330000,1820000,0
Albania,ALB,1991,3250000,190000,910000,500000,420000,1420000,550000,540000,270000,980000,0
Albania,ALB,1992,3180000,190000,910000,420000,190000,760000,420000,400000,200000,290000,0
